item,recorte,Branca 2012T1,Branca 2026T2,cresc.% Branca,Negra 2012T1,Negra 2026T2,cresc.% Negra,Indígena 2012T1,Indígena 2026T2,cresc.% Indígena,cresceu mais,hiato B-N R$ 2012T1,hiato B-N R$ 2026T2,hiato B-N R$,hiato B-I R$ 2012T1,hiato B-I R$ 2026T2,hiato B-N % 2012T1,hiato B-N % 2026T2,hiato B-I % 2012T1,hiato B-I % 2026T2
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 25-39 · Fundamental incompl.,1396.2,1600.8,14.7,1139.4,1286.1,12.9,1377.0,1781.6,29.4,Indígena,256.8,314.7,subiu,19.2,-180.7,22.5,24.5,1.4,-10.1
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 25-39 · Fundamental compl.,1732.1,1826.0,5.4,1421.6,1485.6,4.5,1400.8,1369.1,-2.3,Branca,310.5,340.4,subiu,331.3,456.8,21.8,22.9,23.6,33.4
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 25-39 · Médio incompl.,1738.2,1957.3,12.6,1467.8,1690.8,15.2,1864.8,1350.6,-27.6,Negra,270.4,266.5,caiu,-126.6,606.7,18.4,15.8,-6.8,44.9
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 25-39 · Médio compl.,2219.3,2513.6,13.3,1785.9,1974.8,10.6,1901.0,1865.8,-1.9,Branca,433.4,538.8,subiu,318.3,647.8,24.3,27.3,16.7,34.7
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 25-39 · Superior incompl.,3100.7,3140.8,1.3,2473.2,2539.7,2.7,1916.1,2395.7,25.0,Indígena,627.5,601.0,caiu,1184.6,745.1,25.4,23.7,61.8,31.1
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 25-39 · Superior compl.,5746.0,5799.6,0.9,4437.5,4440.0,0.1,3241.7,3918.4,20.9,Indígena,1308.5,1359.5,subiu,2504.3,1881.1,29.5,30.6,77.3,48.0
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 40-59 · Sem instrução,1309.0,2370.1,81.1,887.3,1274.6,43.7,518.7,1367.1,163.6,Indígena,421.8,1095.4,subiu,790.3,1002.9,47.5,85.9,152.4,73.4
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 40-59 · Fundamental incompl.,1520.2,1787.9,17.6,1252.4,1463.3,16.8,1100.1,1294.4,17.7,Indígena,267.8,324.5,subiu,420.1,493.5,21.4,22.2,38.2,38.1
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 40-59 · Fundamental compl.,1959.9,1955.7,-0.2,1595.4,1761.4,10.4,991.4,1446.1,45.9,Indígena,364.5,194.2,caiu,968.5,509.6,22.9,11.0,97.7,35.2
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 40-59 · Médio incompl.,2429.8,2149.2,-11.5,1771.0,1753.3,-1.0,1356.6,1807.9,33.3,Indígena,658.9,395.9,caiu,1073.2,341.3,37.2,22.6,79.1,18.9
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 40-59 · Médio compl.,2826.1,2591.2,-8.3,2277.8,2127.8,-6.6,1736.3,1819.4,4.8,Indígena,548.4,463.4,caiu,1089.9,771.8,24.1,21.8,62.8,42.4
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 40-59 · Superior incompl.,4582.7,3511.1,-23.4,3464.7,2732.7,-21.1,,1893.2,,Negra,1118.0,778.4,caiu,,1617.9,32.3,28.5,,85.5
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 40-59 · Superior compl.,7703.5,7414.0,-3.8,5896.8,5302.1,-10.1,6068.0,8038.0,32.5,Indígena,1806.6,2111.9,subiu,1635.4,-624.1,30.6,39.8,27.0,-7.8
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 60+ · Sem instrução,848.2,1875.9,121.2,726.8,916.4,26.1,477.9,301.2,-37.0,Branca,121.4,959.5,subiu,370.3,1574.8,16.7,104.7,77.5,522.9
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 60+ · Fundamental incompl.,1431.7,1638.7,14.5,1120.3,1230.3,9.8,1582.3,1315.7,-16.9,Branca,311.4,408.3,subiu,-150.6,323.0,27.8,33.2,-9.5,24.5
9. Raça × Gênero × Faixa Etária × Escolaridade,Mulheres · 60+ · Fundamental compl.,1759.9,1709.7,-2.9,1622.9,1769.7,9.0,0.0,848.2,,Negra,137.1,-60.0,caiu,1759.9,861.5,8.4,-3.4,,101.6
